gene,log2FC,pvalue,padj,-log10_padj,Significance
CCZ1B,-0.1514479951763627,0.3140168709498412,0.5355725685674518,0.27118167517174385,Not Significant
NACC1,-0.08290739624158175,0.31413812957541615,0.5356595919425787,0.27111111386283143,Not Significant
OR3A3,-0.18380162797708638,0.3141156720262504,0.5356595919425787,0.27111111386283143,Not Significant
UTP18,0.10232775600442343,0.31410611794057675,0.5356595919425787,0.27111111386283143,Not Significant
BARX1,-0.2408374032760517,0.31427000216452683,0.5357697833907726,0.271021783592122,Not Significant
DGCR10,0.21550115566274836,0.31424365615093036,0.5357697833907726,0.271021783592122,Not Significant
REXO1,0.12766239573912255,0.31429394267510846,0.5357697833907726,0.271021783592122,Not Significant
RP11-489G11.3,-0.24511988744849683,0.31429641751184223,0.5357697833907726,0.271021783592122,Not Significant
LOC100129455,-0.22148306702843826,0.31455034388433617,0.5361626959750884,0.27070340574992474,Not Significant
KAT7,-0.09914892975580136,0.3147264617228572,0.5364229323762644,0.27049266409489714,Not Significant
TMEM191A,0.20200673299166028,0.31479274336275787,0.5364959380364916,0.27043356185276557,Not Significant
PPM1G,-0.09818912672093073,0.31485893131414644,0.5365687731616021,0.27037460568238236,Not Significant
LOC101928104,-0.17962285197467467,0.3149576342158633,0.5366637077941672,0.27029777314534376,Not Significant
RETNLB,0.1506687267611302,0.31496155018619215,0.5366637077941672,0.27029777314534376,Not Significant
C1QTNF4,-0.17172414832680036,0.31507284671882757,0.5368133690465988,0.2701766768352144,Not Significant
NUDT1,-0.11645925032659799,0.31517192832012625,0.5369421980613915,0.27007246367494614,Not Significant
LOC102724112,-0.09504512109335547,0.3152004024153551,0.5369507264733321,0.2700655657018603,Not Significant
C20orf96,0.21448949854286076,0.3152484298627304,0.5369925606953001,0.27003173082066745,Not Significant
DBF4,0.09379801025022826,0.3152878086746413,0.5370196577440477,0.2700098165471659,Not Significant
LINC00424,-0.14976906843533178,0.3153181138020859,0.5370312969920892,0.2700004038443964,Not Significant
C5AR1,-0.18053200683348203,0.31558166996964204,0.5373601703434852,0.26973452703773965,Not Significant
FLJ10038,-0.08656537031453981,0.31557439087986994,0.5373601703434852,0.26973452703773965,Not Significant
MCMBP,0.08536847218035204,0.3155383266328848,0.5373601703434852,0.26973452703773965,Not Significant
